track_id,name,album,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,81,0.731,0.703,0,-5.672,0,0.0368,0.111,0.0,0.0657,0.595,138.111,192120,4
42Ow7PS3YtCWplolUUigDo,Right Now,Unapologetic (Deluxe),Rihanna,58,0.668,0.639,3,-5.208,0,0.0885,0.049,0.0,0.0675,0.26,130.007,181627,4
1Mb8WgET5ozEtG0zlibyUy,Timber,Global Warming: Meltdown,Pitbull,63,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Wild Ones,Flo Rida,81,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,232947,4
7seTcUFOhn5caSDbiSfsp0,She Knows,Non-Fiction (Deluxe),Ne-Yo,69,0.705,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.977,214726,4
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),Love Tonight (David Guetta Remix),Shouse,78,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),R.E.D. (Deluxe Edition),Ne-Yo,68,0.657,0.676,5,-6.633,1,0.0393,0.245,0.0,0.368,0.246,124.904,251627,4
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,84,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,192790,5
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,79,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
0JjM9bKm4wrwohMslcm892,Still Be Friends (feat. Tory Lanez & Tyga),Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,63,0.803,0.759,7,-4.692,0,0.0494,0.00509,0.0,0.0921,0.284,104.0,213308,4
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),Taste (feat. Offset),Tyga,70,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,232959,4
4vSSBsriHfHnvqNjeaO8AZ,Bailando - English Version,SEX AND LOVE (Deluxe),Enrique Iglesias,46,0.717,0.851,7,-3.507,1,0.0957,0.0791,0.0,0.0652,0.955,90.971,243213,4
5fwSHlTEWpluwOM0Sxnh5k,Pepas,Pepas,Farruko,80,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
1zv3WFUbZ5vPxFq9I2jAU1,We Found Love,Talk That Talk (Explicit),Rihanna,61,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00141,0.108,0.6,127.975,215227,4
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Pharmacy,Galantis,79,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,227074,4
360UM2DaiHZPRu0EsrOvMp,If We Ever Meet Again (Featuring Katy Perry),Shock Value II,Timbaland,69,0.652,0.605,8,-7.371,1,0.0393,0.00481,0.0,0.0605,0.394,126.091,292707,4
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,Jungle Rules,French Montana,87,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,Meet The Orphans,Don Omar,82,0.4,0.915,0,-4.89,1,0.279,0.083,0.0,0.0503,0.871,89.006,198773,3
7EQGXaVSyEDsCWKmUcfpLk,Die Young,Warrior (Expanded Edition),Kesha,80,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
4lCv7b86sLynZbXhfScfm2,Firework,Teenage Dream: The Complete Confection,Katy Perry,70,0.639,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.648,124.075,227880,4
3AGOgQzp0YcPH41u9p7dOp,Glad You Came,The Wanted (Special Edition),The Wanted,60,0.61,0.841,7,-4.579,0,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187,4
5GjnIpUlLGEIYk052ISOw9,This Is What It Feels Like,Intense,Armin van Buuren,73,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,204360,5
1LomM3L6atrf79ZL7nHDp4,Shake Senora (feat. T-Pain & Sean Paul),Planet Pit (Deluxe Version),Pitbull,62,0.685,0.944,5,-5.19,1,0.341,0.134,0.0,0.361,0.543,128.015,214827,4
45sDIKapDyxPl307QpEAwl,Rocketeer,Free Wired,Far East Movement,67,0.664,0.845,4,-6.115,0,0.0462,0.181,0.0,0.267,0.357,96.005,211253,4
53gcDgFyqqpvCzXWrnFZpH,Heartless,808s & Heartbreak (Softpak),Kanye West,0,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,4
1XvHiCTd0MDb16S8bQNl74,All Of The Lights,My Beautiful Dark Twisted Fantasy,Kanye West,0,0.546,0.796,1,-3.263,1,0.0639,0.0909,2.73e-05,0.19,0.254,142.123,299613,4
12eMQUn2GzfsfsQLH53M19,Scream,Looking 4 Myself (Expanded Edition),USHER,68,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,234693,4
5pfJsMwoRYKampPay8amX0,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",This Unruly Mess I've Made,Macklemore & Ryan Lewis,66,0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,292593,4
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,76,0.652,0.81,3,-3.789,0,0.0406,0.00129,2.91e-05,0.667,0.732,126.022,230733,4
2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,iSouljaBoyTellem,Soulja Boy,78,0.758,0.712,7,-3.781,1,0.112,0.0188,0.0,0.0677,0.794,150.001,193387,4
6OPZtIV3uoZQT1YkoiEQH9,The Other Side,Tattoos,Jason Derulo,61,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,226987,4
3hlksXnvbKogFdPbpO9vel,Super Bass,Pink Friday (Complete Edition),Nicki Minaj,80,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013,4
7iFEgldfNsZFdAeTZSSQ3t,Till The World Ends - Alex Suarez Radio Remix,Till The World Ends The Remixes,Britney Spears,42,0.69,0.807,8,-4.853,1,0.0486,0.00139,0.000203,0.415,0.343,132.005,236813,4
6DkXLzBQT7cwXmTyzAB1DJ,What's My Name?,Loud (Japan Version),Rihanna,75,0.688,0.784,2,-2.972,1,0.0747,0.182,0.0,0.0843,0.563,100.003,263173,4
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,82,0.834,0.669,6,-5.582,0,0.0637,0.0341,7.18e-05,0.0535,0.547,122.669,267080,4
27ilMN1oiW9849fReEYgOj,I Love It,Icona Pop,Icona Pop,55,0.71,0.901,1,-2.686,1,0.0296,0.00828,1.34e-05,0.172,0.86,125.953,156773,4
0wbDgMuAoy7O7pL3a69uZx,Give It To Me,Shock Value,Timbaland,76,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,234027,4
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,85,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
1GTC0gBd5B8YmVf3tRl9Ln,Right Round (feat. Ke$ha),R.O.O.T.S. (Route of Overcoming the Struggle),Flo Rida,59,0.453,0.975,7,-3.074,1,0.291,0.0518,1.57e-06,0.223,0.155,129.174,202680,4
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,The Chainsmokers,87,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,÷ (Deluxe),Ed Sheeran,79,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Scorpion,Drake,78,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747,4
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,Drake,88,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
6LxSe8YmdPxy095Ux6znaQ,Headlines,Take Care (Deluxe),Drake,78,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,4
1NHlyKgtR4roNylOhidKSv,Girls Have Fun (feat. G-Eazy & Rich The Kid),Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,53,0.888,0.74,8,-5.363,1,0.238,0.00586,0.0,0.218,0.664,100.003,175711,4
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,86,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Mail on Sunday,Flo Rida,82,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,4
4Kz4RdRCceaA9VgTqBhBfa,The Motto,Take Care (Deluxe),Drake,75,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,181573,4
