,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
61,5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,My Everything (Deluxe),Ariana Grande,79,0.486,0.00936,0.712,0.0,0.0764,-4.388,0.0328,99.128,1,0.244,['pop']
62,7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),Positions,Ariana Grande,62,0.411,0.519,0.522,0.0,0.398,-7.295,0.0981,88.332,0,0.382,['pop']
63,1QLPDwLAMQ6WdGSXQTrZWV,1AM,1AM,Nanida9,44,0.538,0.858,0.17,0.00155,0.108,-14.613,0.103,89.561,10,0.209,[]
64,6dmXZ9B5HdFAyzHeTneYBK,LA FAMA (with The Weeknd),LA FAMA (with The Weeknd),ROSALÍA,2,0.77,0.946,0.302,3.38e-05,0.125,-7.911,0.0466,136.01,0,0.821,"['pop', 'r&b en espanol']"
65,2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Hyperion,Gesaffelstein,82,0.658,0.0928,0.671,0.000919,0.115,-12.21,0.0364,100.967,2,0.165,['dark clubbing']
66,1nltpRhEiXikwDlVn4UADk,One Right Now (with The Weeknd),Twelve Carat Toothache,Post Malone,69,0.682,0.0363,0.764,0.0,0.103,-5.411,0.0477,97.023,1,0.701,"['dfw rap', 'melodic rap', 'pop', 'rap']"
67,2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,5,0.542,0.00279,0.659,0.0,0.105,-7.289,0.0389,120.122,8,0.109,"['edm', 'pop dance', 'progressive electro house']"
68,58AGoOGbwsQMhBbH0eFLRR,Over Now (with The Weeknd),Over Now (with The Weeknd),Calvin Harris,66,0.612,0.0759,0.884,0.00132,0.247,-4.113,0.0454,178.043,4,0.679,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
69,5LYQSNHZxEA880URXFHg6h,Lust for Life (with The Weeknd),Lust for Life (with The Weeknd),Lana Del Rey,0,0.499,0.588,0.676,0.00484,0.358,-8.618,0.0582,99.979,0,0.295,"['art pop', 'pop']"
70,3vFj4xuQTXHOuo6L0qGafv,Gone,Trilogy,The Weeknd,44,0.495,0.706,0.697,0.000404,0.0601,-7.232,0.307,107.691,7,0.344,"['canadian contemporary r&b', 'canadian pop', 'pop']"
71,5O8x1YlmLQopQHErxtDfi9,UnFazed (feat. The Weeknd),Luv Is Rage 2,Lil Uzi Vert,54,0.778,0.0459,0.707,0.0,0.111,-3.606,0.0746,126.684,4,0.458,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
72,7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",Ty Dolla $ign,80,0.805,0.22,0.33,0.0,0.105,-8.712,0.1,121.97,1,0.211,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
73,64BuLY7ggczC17w5LSUlSE,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,25,0.714,0.411,0.619,0.0,0.0778,-5.995,0.0516,97.951,1,0.156,['rap']
74,1DzJbVkBELu6jDu6q0T0tk,Nothing Is Lost (You Give Me Strength),Avatar: The Way of Water (Original Motion Picture Soundtrack),Simon Franglen,62,0.52,0.0002,0.693,2.2e-05,0.122,-7.704,0.0331,126.985,5,0.12,"['canadian contemporary r&b', 'canadian pop', 'pop']"
75,4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),Double Fantasy,The Weeknd,73,0.613,0.00572,0.573,2.58e-06,0.432,-7.277,0.0345,119.041,9,0.124,"['canadian contemporary r&b', 'canadian pop', 'pop']"
76,5xP9lQYA8YQmQh6BOxcAnR,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),Popular [The Idol Vol. 1 (Music from the HBO Original Series)],The Weeknd,18,0.854,0.0517,0.674,8.53e-05,0.509,-6.23,0.184,99.022,1,0.848,"['canadian contemporary r&b', 'canadian pop', 'pop']"
77,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,93,0.264,0.0393,0.64,2.31e-06,0.151,-6.221,0.0442,84.828,8,0.19,"['canadian contemporary r&b', 'canadian pop', 'pop']"
78,6cViXqp01e3FrAaseuiSAV,"False Idols (with Lil Baby, Suzanna Son)",The Idol Episode 5 Part 1 (Music from the HBO Original Series),The Weeknd,66,0.679,0.209,0.589,0.0,0.0998,-4.96,0.035,119.996,9,0.105,"['canadian contemporary r&b', 'canadian pop', 'pop']"
79,20MuVazoNMv6xjKPnRFOxG,WAKE UP,ASTROWORLD,Travis Scott,68,0.741,0.192,0.645,0.0,0.163,-5.116,0.0963,149.07,11,0.488,"['hip hop', 'rap', 'slap house']"
80,5L3ecxQnQ9qTBmnLQiwf0C,K-POP,K-POP,Travis Scott,76,0.814,0.0386,0.618,3.34e-06,0.671,-5.614,0.0619,121.075,5,0.535,"['hip hop', 'rap', 'slap house']"
81,4GL9GMX9t7Qkprvf1YighZ,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),UTOPIA,Travis Scott,71,0.682,0.000779,0.764,0.0089,0.373,-6.314,0.0327,125.018,1,0.248,"['hip hop', 'rap', 'slap house']"
