track_id,name,album,artist_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6NPVjNh8Jhru9xOmyQigds,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Pharrell Williams,0,dance pop,0.652,0.757,1,-6.819,1,0.153,0.286,0.0,0.0886,0.962,159.911,233305,4
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,83,canadian contemporary r&b,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,4
4NBTZtAt1F13VvlSKe6KTl,This Feeling,Sick Boy,The Chainsmokers,70,pop,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049,197947,4
0bD5aCBb46dEtEVkv9hd1m,Thnks fr th Mmrs,Believers Never Die - Greatest Hits,Fall Out Boy,48,emo,0.461,0.89,10,-5.167,0,0.0627,0.00348,0.0,0.0953,0.597,155.051,208253,4
2Y2ud3awMZHDxOCpDebiv3,Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,0,barbadian pop,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,275987,4
2dRvMEW4EwySxRUtEamSfG,The Heart Wants What It Wants,For You,Selena Gomez,57,pop,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227360,4
0HcSC0BbA1H5zwGCr9xCON,I Want It That Way,Millennium,Backstreet Boys,0,boy band,0.687,0.7,6,-5.74,0,0.0264,0.246,0.0,0.233,0.503,99.042,213307,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,Hunting High and Low,a-ha,88,new romantic,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
4iMdiQO0YJwEkWf8eI2wff,Haven't Met You Yet,Crazy Love (Hollywood Edition),Michael Bublé,35,adult standards,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,244587,4
717TY4sfgKQm4kFbYQIzgo,Toxic,Greatest Hits: My Prerogative,Britney Spears,55,dance pop,0.774,0.847,5,-3.925,0,0.121,0.0279,0.0182,0.241,0.923,143.011,198813,4
1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,Oh No,OK Go,66,chicago indie,0.537,0.882,0,-2.306,1,0.0403,0.00035,9.06e-05,0.12,0.81,145.73,179813,4
0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,Hozier,Hozier,65,irish singer-songwriter,0.575,0.664,4,-5.303,0,0.0481,0.637,0.0,0.116,0.437,129.07,241693,4
6kwAbEjseqBob48jCus7Sz,Elastic Heart,1000 Forms Of Fear,Sia,77,australian dance,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,257200,4
6vECYJHxYmm3Ydt3fF01pE,Stolen Dance,Sadnecessary,Milky Chance,2,german pop,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,4
3E5XrOtqMAs7p2wKhwgOjf,Just Dance,The Fame Monster (Deluxe),Lady Gaga,0,art pop,0.818,0.732,1,-4.474,0,0.0334,0.0335,4.95e-05,0.19,0.679,119.002,241933,4
0KAiuUOrLTIkzkpfpn9jb9,Drive By,California 37,Train,81,dance pop,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,4
1uigwk5hNV84zRd5YQQRTk,Pocketful of Sunshine,Pocketful Of Sunshine,Natasha Bedingfield,77,dance pop,0.721,0.88,9,-3.896,0,0.0454,0.191,0.0,0.0769,0.655,110.021,202907,4
2ze7s5CrESggiWA3RpDYIy,I'm Like A Bird,"Whoa, Nelly! (Special Edition)",Nelly Furtado,0,canadian latin,0.622,0.616,10,-5.107,1,0.0349,0.147,3.87e-06,0.218,0.598,89.673,243160,4
7cM9Kqto11iJpY2RwgVJSq,Flare Guns,The Story of Us,Quinn XCII,56,indie pop rap,0.812,0.472,1,-6.806,0,0.0603,0.26,0.0,0.285,0.457,92.951,240013,4
4ulrQQu8H7ZsW9PVqjYSza,Your Shirt,Snow In October EP,Chelsea Cutler,40,alt z,0.433,0.478,2,-6.641,1,0.0725,0.191,0.0,0.32,0.173,179.98,230000,4
6ae29ZzSPYq61ARnOn3CGh,California,California,Anthony Russo,42,chill pop,0.737,0.493,10,-7.224,1,0.0592,0.263,0.0,0.247,0.364,142.003,189296,4
4HLOCGM9BqYt4BUfLiTPPJ,Fascination,Fascination,The Beaches,0,canadian indie rock,0.625,0.784,9,-3.993,1,0.0287,0.0501,0.0,0.101,0.72,105.061,181787,4
1595LW73XBxkRk2ciQOHfr,A-Punk,Vampire Weekend,Vampire Weekend,0,baroque pop,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993,137760,4
1hYz27mkvDvokNzyTyqUru,The Way You'd Love Her,Another One,Mac DeMarco,0,edmonton indie,0.641,0.501,1,-9.333,1,0.0226,0.589,0.0625,0.335,0.935,92.188,156430,4
7FCfMXYTIiQ9b4hDYs4Iol,Be the One,Dua Lipa (Deluxe),Dua Lipa,64,dance pop,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,202915,4
03kgiS0813IuHfVMZix7hT,All Washed Out,FLY,DREAMERS,38,modern alternative rock,0.626,0.7,4,-5.437,0,0.0305,0.00149,0.00108,0.17,0.362,101.016,222181,4
7gavDfA7n1kvZYkGpsJmXf,Heavy,The Union,The Glorious Sons,51,canadian indie rock,0.566,0.858,9,-3.632,1,0.042,0.000631,0.001,0.387,0.698,124.999,170213,4
46weynhDnXhlzms0dNXtQX,Genesis,Visions,Grimes,0,art pop,0.611,0.676,10,-6.751,0,0.0333,0.0747,0.0437,0.164,0.255,166.043,255322,4
305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Get Born,Jet,76,garage rock,0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,213800,4
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Only By The Night,Kings of Leon,85,modern rock,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4
3u7EIgAlwNQtxkM4bOA7uI,In Too Deep,All Killer No Filler,Sum 41,59,alternative metal,0.509,0.812,9,-5.936,1,0.0796,0.00084,0.0,0.062,0.649,116.078,206999,4
7yCPwWs66K8Ba5lFuU2bcx,All The Small Things,Enema Of The State,blink-182,0,alternative metal,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.695,148.599,168000,4
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,El Camino,The Black Keys,80,alternative rock,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,193653,4
5c5a2Ptu8eyIpljhQHjIqk,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,0,modern alternative rock,0.635,0.914,0,-5.631,1,0.111,0.0597,0.0,0.601,0.922,156.014,175493,4
4nVyHATevhl5RC6Qmoko5H,I Like It,Euphoria (Standard US/Latin version),Enrique Iglesias,67,dance pop,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,231787,4
19Js5ypV6JKn4DMExHQbGc,Stacy's Mom,I've Never Done Anything Like This,Bowling For Soup,60,neon pop punk,0.728,0.801,4,-3.636,1,0.0752,0.00349,0.000195,0.0907,0.813,119.989,193043,4
4YPhn26bIFm2KUkL1VLzQG,Say It Ain't So,Weezer (Deluxe Edition),Weezer,0,alternative rock,0.635,0.435,3,-7.521,1,0.031,0.00328,6.78e-06,0.071,0.459,76.098,256880,4
3XorCFmcupSm5QS6hA9g4N,I Want You,Savage Garden,Savage Garden,61,boy band,0.628,0.871,7,-6.44,1,0.0363,0.0077,1.64e-06,0.392,0.615,106.101,232067,4
5Y6nVaayzitvsD5F7nr3DV,West Coast,Ultraviolence (Deluxe),Lana Del Rey,84,art pop,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,256760,4
7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman,Tal Bachman,72,pop rock,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,224693,4
1C0pmryC2MdXfa7MZ9uIrU,One Week,Stunt,Barenaked Ladies,0,canadian pop,0.702,0.898,9,-6.003,1,0.0373,0.00854,0.000154,0.0917,0.731,112.845,169760,4
1DqpFQJcBRkfTs6U6XlfIQ,Be My Fire,Black Holes,The Blue Stones,0,modern alternative rock,0.539,0.886,1,-6.133,0,0.0459,0.000436,0.000122,0.168,0.5,95.995,193053,4
0F7FA14euOIX8KcbEturGH,Old Town Road,7 EP,Lil Nas X,74,lgbtq+ hip hop,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,113000,4
17aDyX39gb1iV1ZWvD1ffE,High,"Don't You Worry, Honey",Sir Sly,56,indietronica,0.743,0.733,2,-5.576,1,0.0352,0.00705,0.00753,0.0565,0.726,122.975,231897,4
6NvRxjfYkkT2SpirAlmsjH,No One Knows,Songs For The Deaf,Queens of the Stone Age,68,alternative metal,0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889,278707,4
5xTtaWoae3wi06K5WfVUUH,Shake It Off,1989,Taylor Swift,72,pop,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,219200,4
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,American Idiot,Green Day,77,modern rock,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,285653,4
7ne867SdHbopGYjxVNyRFM,Lost Cause,Deadbeat Graffiti,Black Pistol Fire,44,alternative roots rock,0.324,0.863,7,-4.199,0,0.0646,0.00265,0.463,0.115,0.548,166.482,212120,4
1DqdF42leyFIzqNDv9CjId,Dynamite,Rokstarr,Taio Cruz,72,dance pop,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867,4
1CdqVF1ywD0ZO1zXtB9yWa,Break Your Heart,Rokstarr,Taio Cruz,70,dance pop,0.666,0.899,8,-4.676,1,0.0281,0.00156,0.0,0.0678,0.616,122.049,186267,4
